iter	Passed	Remaining
0	200	199954
1	265	132687
2	337	112049
3	401	10009344	467	9294255	533	8833666	597	8480677	653	8108488	736	8109399	802	79444110	849	76372111	926	76300112	981	74491113	1043	73461414	1101	72321515	1162	71491616	1209	69941717	1265	69051818	1324	68381919	1377	67512020	1425	66462121	1471	654122	1532	65085
23	1594	64831
24	1644	64152
25	1688	63265
26	1756	63314
27	1815	63012
28	1878	62890
29	1921	62141
30	1984	62035
31	2050	62041
32	2105	61702
33	2165	61533
34	2210	60951
35	2253	60337
36	2296	59772
37	2353	59568
38	2400	59141
39	2459	59027
40	2521	58975
41	2578	58812
42	2645	58873
43	2703	58738
44	2760	58593
45	2811	58310
46	2875	58312
47	2936	58237
48	3004	58319
49	3061	58175
50	3112	57916
51	3167	57753
52	3215	57452
53	3274	57363
54	3333	57283
55	3395	57241
56	3441	56929
57	3508	56983
58	3563	56828
59	3608	56527
60	3666	56443
61	3725	56359
62	3792	56400
63	3848	56284
64	3896	56045
65	3943	55812
66	3999	55692
67	4047	55481
68	4115	55524
69	4166	55352
70	4222	55250
71	4283	55214
72	4336	55066
73	4404	55116
74	4449	54881
75	4502	54742
76	4595	55083
77	4658	55066
78	4726	55097
79	4781	54989
80	4841	54925
81	4898	54835
82	4945	54638
83	4989	54405
84	5045	54308
85	5099	54197
86	5145	54000
87	5211	54010
88	5266	53909
89	5315	53746
90	5373	53673
91	5419	53490
92	5467	53327
93	5510	53116
94	5571	53080
95	5634	53058
96	5699	53061
97	5759	53006
98	5812	52897
99	5857	52719
100	5922	52712
101	5980	52656
102	6035	52562
103	6077	52360
104	6126	52223
105	6185	52165
106	6245	52121
107	6294	51990
108	6335	51785
109	6387	51683
110	6436	51548
111	6495	51500
112	6572	51589
113	6620	51452
114	6673	51354
115	6729	51285
116	6792	51263
117	6847	51178
118	6890	51010
119	6943	50921
120	6990	50779
121	7050	50740
122	7103	50645
123	7153	50536
124	7215	50506
125	7272	50442
126	7327	50370
127	7399	50408
128	7458	50360
129	7502	50210
130	7554	50112
131	7602	49990
132	7661	49945
133	7707	49813
134	7757	49704
135	7801	49564
136	7867	49561
137	7915	49441
138	7972	49385
139	8037	49374
140	8105	49379
141	8161	49311
142	8221	49273
143	8266	49137
144	8310	49001
145	8364	48927
146	8412	48812
147	8466	48741
148	8509	48603
149	8571	48574
150	8622	48479
151	8682	48440
152	8725	48303
153	8788	48278
154	8842	48207
155	8899	48145
156	8959	48110
157	9010	48020
158	9072	47986
159	9123	47900
160	9171	47795
161	9218	47684
162	9265	47579
163	9311	47467
164	9368	47408
165	9412	47289
166	9473	47255
167	9520	47147
168	9583	47123
169	9636	47047
170	9685	46955
171	9732	46850
172	9779	46750
173	9837	46701
174	9898	46663
175	9950	46585
176	9998	46491
177	10059	46454
178	10116	46402
179	10174	46352
180	10238	46327
181	10301	46300
182	10362	46261
183	10412	46177
184	10469	46124
185	10519	46036
186	10551	458711187	10604	458011188	10665	457661189	10708	456501190	10765	455971191	10811	454991192	10860	454111193	10936	454361194	10991	453761195	11044	453041196	11094	452221197	11148	451561198	11206	45109199	11250	45002
200	11308	44953
201	11365	44900
202	11425	44858
203	11473	44771
204	11526	44699
205	11588	44667
206	11658	44661
207	11712	44598
208	11774	44564
209	11835	44524
210	11884	44439
211	11944	44398
212	11991	44306
213	12078	44364
214	12131	44292
215	12199	44281
216	12257	44227
217	12313	44170
218	12372	44121
219	12423	44045
220	12492	44033
221	12542	43954
222	12593	43881
223	12641	43792
224	12699	43742
225	12763	43710
226	12806	43611
227	12856	43532
228	12919	43497
229	12983	43465
230	13043	43422
231	13106	43386
232	13158	43317
233	13212	43251
234	13262	43175
235	13334	43168
236	13381	43079
237	13436	43019
238	13484	42934
239	13531	42850
240	13574	42752
241	13629	42692
242	13671	42589
243	13722	42515
244	13776	42454
245	13826	42377
246	13881	42320
247	13934	42253
248	13982	42172
249	14036	42110
250	14096	42064
251	14153	42010
252	14215	41972
253	14269	41909
254	14314	41820
255	14369	41761
256	14425	41704
257	14484	41656
258	14532	41578
259	14583	41507
260	14631	41428
261	14692	41386
262	14737	41299
263	14786	41224
264	14828	41128
265	14864	41018
266	14920	40961
267	14991	40945
268	15058	40920
269	15116	40869
270	15161	40785
271	15209	40708
272	15268	40659
273	15336	40635
274	15392	40579
275	15455	40543
276	15525	40522
277	15594	40501
278	15648	40439
279	15708	40394
280	15761	40328
281	15819	40277
282	15870	40209
283	15924	40148
284	15980	40092
285	16027	40012
286	16075	39937
287	16121	39856
288	16170	39783
289	16242	39765
290	16302	39719
291	16363	39676
292	16412	39603
293	16454	39513
294	16518	39476
295	16569	39409
296	16621	39342
297	16662	39250
298	16713	39183
299	16761	39110
300	16813	39045
301	16863	38976
302	16900	38875
303	16949	38805
304	17008	38756
305	17061	38695
306	17124	38656
307	17185	38612
308	17233	38537
309	17284	38471
310	17347	38431
311	17393	38354
312	17439	38277
313	17506	38246
314	17570	38209
315	17619	38138
316	17685	38105
317	17745	38057
318	17798	37995
319	17862	37957
320	17915	37895
321	17981	37860
322	18038	37808
323	18081	37726
324	18141	37677
325	18197	37622
326	18246	37553
327	18287	37467
328	18358	37442
329	18410	37378
330	18475	37341
331	18529	37283
332	18578	37212
333	18629	37147
334	18697	37116
335	18753	37061
336	18819	37024
337	18870	36958
338	18932	36915
339	18982	36848
340	19026	36768
341	19076	36701
342	19134	36651
343	19180	36576
344	19228	36507
345	19284	36451
346	19347	36409
347	19389	36326
348	19439	36261
349	19475	36167
350	19535	36121
351	19589	36063
352	19653	36021
353	19702	35953
354	19760	35903
355	19810	35836
356	19854	35759
357	19911	35706
358	19959	35637
359	20009	35571
360	20060	35508
361	20102	35429
362	20165	35386
363	20223	35336
364	20273	35270
365	20327	35212
366	20379	35150
367	20435	35095
368	20482	35025
369	20533	34962
370	20574	34883
371	20625	34818
372	20702	34799
373	20761	34751
374	20813	34688
375	20875	34644
376	20939	34603
377	21000	34557
378	21060	34508
379	21117	34454
380	21186	34421
381	21234	34353
382	21293	34302
383	21357	34261
384	21410	34201
385	21478	34165
386	21539	34117
387	21600	34070
388	21641	33991
389	21708	33953
3390	21747	33872391	21803	33818
3392	21861	337653393	21913	337043394	21972	336533395	22021	33588396	22074	33528
397	22122	33461
398	22175	33402
399	22234	33351
400	22300	33311
401	22364	33269
402	22406	33192
403	22458	33131
